gene,r_cnv_rna,p_cnv_rna,r_cnv_prot,p_cnv_prot,prot_att,prot_att_class
PDCD7,0.618570467,3.14E-40,-0.094634588,0.291859359,0.713205054,c_high
SPOP,0.627037951,1.32E-41,-0.074777562,0.452833602,0.701815513,c_high
TOX4,0.677839719,7.83E-51,-0.0134332,0.818283242,0.691272918,c_high
ARPC1A,0.557121077,2.17E-31,-0.123923857,0.018996612,0.681044935,c_high
COPS5,0.656991067,7.89E-47,-0.017499251,0.741774562,0.674490318,c_high
SMARCB1,0.57146182,2.74E-33,-0.095535671,0.085992882,0.666997491,c_high
KIAA1429,0.627139917,1.27E-41,-0.036159362,0.534081703,0.663299279,c_high
UTP3,0.627099856,1.29E-41,-0.034802468,0.544855634,0.661902324,c_high
SPCS1,0.482953161,6.68E-23,-0.16968791,0.003300236,0.652641071,c_high
RCL1,0.660639379,1.66E-47,0.00936549,0.869546996,0.651273889,c_high
SNX14,0.515499189,2.26E-26,-0.134437888,0.071973648,0.649937077,c_high
INTS4,0.67222694,1.01E-49,0.031047593,0.574114037,0.641179347,c_high
GPN2,0.546922848,4.28E-30,-0.085260943,0.375820595,0.63218379,c_high
TADA2B,0.657295555,6.94E-47,0.029129473,0.731683394,0.628166082,c_high
MYL12B,0.558637715,1.38E-31,-0.063894535,0.377351118,0.62253225,c_high
SNRPD3,0.59285588,2.67E-36,-0.025363705,0.627688439,0.618219585,c_high
CCNK,0.676274393,1.61E-50,0.058373302,0.289647734,0.617901091,c_high
MRPL51,0.599695586,2.61E-37,-0.017568374,0.778832135,0.617263959,c_high
POC1B,0.437442529,1.24E-18,-0.177244954,0.089195594,0.614687483,c_high
KDM1A,0.573202854,1.59E-33,-0.040667434,0.441109972,0.613870288,c_high
GEMIN7,0.497245913,2.22E-24,-0.110982208,0.201735152,0.608228121,c_high
INTS10,0.710846454,6.78E-58,0.110901391,0.04474574,0.599945063,c_high
SMARCE1,0.620299544,1.66E-40,0.021475671,0.686342387,0.598823873,c_high
NDUFA9,0.57641553,5.76E-34,-0.02154913,0.680320747,0.59796466,c_high
C18orf8,0.663148272,5.60E-48,0.06803544,0.231550884,0.595112832,c_high
KXD1,0.533199688,2.02E-28,-0.057914146,0.455863848,0.591113834,c_high
C18orf21,0.618186903,3.61E-40,0.027157238,0.704103707,0.591029664,c_high
CPSF2,0.548327687,2.86E-30,-0.040246575,0.442701329,0.588574262,c_high
SKIV2L,0.536585218,7.94E-29,-0.051277647,0.32859856,0.587862864,c_high
SUPT4H1,0.564304938,2.50E-32,-0.02288337,0.682477975,0.587188308,c_high
ANAPC16,0.527307721,1.00E-27,-0.05638998,0.503533537,0.583697701,c_high
COG1,0.627669166,1.04E-41,0.045114388,0.39407616,0.582554779,c_high
CNOT10,0.600191329,2.20E-37,0.018287392,0.747248544,0.581903936,c_high
L3MBTL2,0.565942191,1.51E-32,-0.014194418,0.845476824,0.580136609,c_high
UBE2D3,0.569868585,4.51E-33,-0.006251004,0.925377772,0.576119589,c_high
PSMD7,0.52135777,4.90E-27,-0.054425624,0.29774354,0.575783394,c_high
UBL7,0.575027153,8.95E-34,-0.000511671,0.993474377,0.575538824,c_high
RPS6,0.486759016,2.74E-23,-0.088402766,0.090378117,0.575161781,c_high
MRPL37,0.571051302,3.12E-33,-0.003914575,0.940751206,0.574965877,c_high
HAUS2,0.442680974,4.31E-19,-0.131126512,0.077659362,0.573807486,c_high
PAF1,0.55857234,1.41E-31,-0.014434199,0.795460012,0.573006538,c_high
SEH1L,0.643265971,2.31E-44,0.073744479,0.172367276,0.569521492,c_high
RRAGA,0.632021665,1.96E-42,0.063447424,0.294444855,0.56857424,c_high
TSEN54,0.614435164,1.42E-39,0.049007551,0.514740277,0.565427613,c_high
ZNRD1,0.402768172,8.74E-16,-0.161394561,0.063466391,0.564162733,c_high
CINP,0.598025301,4.63E-37,0.034175177,0.6215757,0.563850124,c_high
GLE1,0.628235164,8.38E-42,0.065951108,0.288456036,0.562284056,c_high
RPL17,0.587261353,1.72E-35,0.026182407,0.616622573,0.561078946,c_high
GNB2L1,0.543060041,1.29E-29,-0.017866469,0.743825052,0.56092651,c_high
SNRNP40,0.621688907,9.88E-41,0.060936517,0.248811843,0.560752391,c_high
CCT5,0.62917812,5.85E-42,0.069968158,0.18047383,0.559209962,c_high
RPS19BP1,0.527570826,9.34E-28,-0.031092228,0.638275643,0.558663054,c_high
PSMC4,0.53419798,1.54E-28,-0.02412641,0.644570907,0.55832439,c_high
NOL11,0.651207029,8.96E-46,0.093854686,0.082616718,0.557352343,c_high
NUP85,0.69973045,2.08E-55,0.144228759,0.006118199,0.555501691,c_high
URB2,0.472997923,6.51E-22,-0.080657148,0.153905223,0.553655071,c_high
TIMM22,0.577505247,4.07E-34,0.027198375,0.689639488,0.550306872,c_high
C19orf52,0.667272448,9.20E-49,0.117194257,0.061152831,0.550078191,c_high
PSMC5,0.609183146,9.40E-39,0.06048632,0.247092103,0.548696827,c_high
WDR46,0.641907788,3.99E-44,0.093989629,0.103635422,0.547918158,c_high
UTP6,0.489695779,1.37E-23,-0.057059886,0.327084041,0.546755665,c_high
EIF3I,0.520940972,5.47E-27,-0.025609616,0.624830199,0.546550588,c_high
POLR2B,0.619709644,2.06E-40,0.073601595,0.161124291,0.546108049,c_high
MRPL27,0.5855851,2.99E-35,0.04011401,0.494731188,0.54547109,c_high
TAF11,0.571798856,2.47E-33,0.026632505,0.731839017,0.545166351,c_high
INTS9,0.730323605,1.50E-62,0.185423735,0.001162746,0.54489987,c_high
RNF20,0.478755551,1.76E-22,-0.064043431,0.243822643,0.542798982,c_high
GPS1,0.600693928,1.85E-37,0.058080362,0.273748187,0.542613567,c_high
RPL23A,0.498795322,1.52E-24,-0.04365881,0.403678221,0.542454132,c_high
CCT6A,0.543518566,1.13E-29,0.001422633,0.97830181,0.542095933,c_high
PSMB2,0.522952171,3.21E-27,-0.016929288,0.746181524,0.539881459,c_high
NGDN,0.651306373,8.59E-46,0.111759889,0.066201793,0.539546484,c_high
Mar 05,0.524628728,2.06E-27,-0.01196206,0.828352465,0.536590789,c_high
MED20,0.655004573,1.83E-46,0.120508759,0.042063098,0.534495814,c_high
CDK9,0.580982722,1.34E-34,0.047171689,0.390152639,0.533811032,c_high
POLR2C,0.494620815,4.20E-24,-0.039138409,0.46354825,0.533759224,c_high
IMP3,0.532819667,2.24E-28,-0.000523305,0.992216669,0.533342971,c_high
VPS52,0.592998892,2.55E-36,0.059940433,0.266868864,0.533058459,c_high
SF3A3,0.608415746,1.23E-38,0.075412559,0.148795609,0.533003187,c_high
GATAD1,0.558635755,1.38E-31,0.027257476,0.676977305,0.531378279,c_high
MAD2L1BP,0.576636389,5.37E-34,0.045363812,0.560481603,0.531272577,c_high
PSMB5,0.56531372,1.83E-32,0.034244444,0.531606674,0.531069276,c_high
KIAA0196,0.580033126,1.81E-34,0.051268986,0.3495387,0.52876414,c_high
RPL19,0.521375691,4.87E-27,-0.00723131,0.890042487,0.528607001,c_high
MYL12A,0.50649968,2.25E-25,-0.021642095,0.722343572,0.528141775,c_high
MRPS2,0.489484317,1.44E-23,-0.038313905,0.493960425,0.527798222,c_high
MFAP1,0.599374756,2.91E-37,0.072374297,0.228186842,0.527000458,c_high
MAEA,0.607954488,1.45E-38,0.081153522,0.181245534,0.526800966,c_high
MRPS23,0.625674509,2.22E-41,0.09997672,0.056695555,0.525697789,c_high
SUPT7L,0.597397011,5.74E-37,0.072206198,0.361184259,0.525190813,c_high
RPL18,0.407993539,3.41E-16,-0.116880137,0.024947671,0.524873676,c_high
GPAA1,0.523493088,2.78E-27,-0.000291992,0.995974847,0.523785081,c_high
MED8,0.574812975,9.57E-34,0.051058095,0.406905414,0.52375488,c_high
PRPF38A,0.548765056,2.52E-30,0.025141753,0.644112309,0.523623303,c_high
DYM,0.715784928,4.88E-59,0.192266647,0.000679309,0.523518281,c_high
TAF6L,0.488987336,1.62E-23,-0.034198918,0.588209999,0.523186255,c_high
THOC5,0.560946144,6.91E-32,0.038966057,0.502081147,0.521980087,c_high
SAP18,0.519306246,8.40E-27,-0.00241271,0.964281312,0.521718956,c_high
MRPL52,0.445736463,2.30E-19,-0.075366133,0.279281372,0.521102595,c_high
FARSA,0.600681192,1.86E-37,0.079958318,0.125744548,0.520722873,c_high
KAT6A,0.697738084,5.64E-55,0.177225055,0.014702644,0.520513029,c_high
AQR,0.644387281,1.47E-44,0.124392833,0.03715927,0.519994448,c_high
INTS8,0.589763811,7.52E-36,0.070446173,0.229292312,0.519317638,c_high
RPL38,0.42211995,2.47E-17,-0.09719705,0.062514097,0.519317,c_high
TAF6,0.626715435,1.49E-41,0.10890353,0.060428573,0.517811904,c_high
TOPORS,0.648927671,2.30E-45,0.132058051,0.181445713,0.51686962,c_high
TCHP,0.563469279,3.22E-32,0.046787044,0.585806796,0.516682235,c_high
HMGXB3,0.558991093,1.24E-31,0.042426546,0.686363401,0.516564547,c_high
ZMAT5,0.510638736,7.89E-26,-0.005862135,0.954315721,0.516500871,c_high
PLRG1,0.550356537,1.59E-30,0.0341042,0.516006268,0.516252338,c_high
MRPS18C,0.503752806,4.47E-25,-0.012477264,0.864334692,0.51623007,c_high
NUP88,0.564960237,2.04E-32,0.04901875,0.353724897,0.515941487,c_high
RINT1,0.558586256,1.40E-31,0.042841932,0.469708816,0.515744324,c_high
POP5,0.40728425,3.88E-16,-0.106170354,0.229271301,0.513454604,c_high
MED21,0.521869378,4.28E-27,0.00876463,0.893683003,0.513104748,c_high
NDUFV3,0.463786265,5.02E-21,-0.049025514,0.366066997,0.512811779,c_high
PES1,0.637638313,2.18E-43,0.125144113,0.017056987,0.512494201,c_high
IK,0.581367448,1.18E-34,0.069334724,0.185062887,0.512032723,c_high
CPSF4,0.606954915,2.07E-38,0.094985638,0.116728874,0.511969276,c_high
SF3A1,0.525046125,1.84E-27,0.01318854,0.800924878,0.511857585,c_high
NDUFS4,0.548772568,2.51E-30,0.037320864,0.49151789,0.511451703,c_high
MRPL4,0.585749791,2.83E-35,0.074459828,0.158592751,0.511289963,c_high
ZBTB9,0.571949466,2.36E-33,0.060701788,0.554762931,0.511247678,c_high
MRPS16,0.591246127,4.59E-36,0.080676349,0.128681378,0.510569778,c_high
GOLGA7,0.650328304,1.29E-45,0.139821078,0.022555023,0.510507226,c_high
SLC30A6,0.451619718,6.79E-20,-0.057650302,0.370899412,0.509270019,c_high
PSMD12,0.601358294,1.47E-37,0.092229358,0.077225784,0.509128936,c_high
PSMD8,0.551435507,1.16E-30,0.042722251,0.413848523,0.508713256,c_high
EXOC7,0.584946643,3.68E-35,0.077443258,0.151178653,0.507503385,c_high
PSMC2,0.562246143,4.66E-32,0.055077712,0.291983999,0.507168431,c_high
MED30,0.532692471,2.32E-28,0.026393,0.69638636,0.506299471,c_high
PSMG2,0.567417118,9.62E-33,0.061306503,0.317368414,0.506110615,c_high
PSMB3,0.520179152,6.68E-27,0.014599109,0.780151533,0.505580043,c_high
TADA3,0.577487929,4.10E-34,0.072130429,0.263681061,0.5053575,c_high
RNF187,0.362591296,7.09E-13,-0.142398691,0.159714906,0.504989987,c_high
RNF34,0.641720979,4.30E-44,0.136811246,0.084510729,0.504909734,c_high
EXOSC5,0.472762793,6.87E-22,-0.031568095,0.576105601,0.504330887,c_high
POLR3B,0.549054811,2.31E-30,0.045463487,0.444548895,0.503591324,c_high
POLR3A,0.532716032,2.31E-28,0.030159878,0.574982613,0.502556153,c_high
DSCR3,0.569054694,5.80E-33,0.067160957,0.239912785,0.501893737,c_high
RPUSD4,0.624915763,2.95E-41,0.123720283,0.097989181,0.50119548,c_high
CDC16,0.674287722,3.97E-50,0.173372387,0.002763518,0.500915335,c_high
PSMB6,0.514607914,2.85E-26,0.014548452,0.785027097,0.500059462,c_high
HDAC3,0.51991238,7.17E-27,0.01992199,0.740869497,0.49999039,c_high
RPL23,0.444771764,2.81E-19,-0.054395901,0.298007858,0.499167665,c_high
UTP18,0.602192631,1.10E-37,0.103602311,0.061701602,0.49859032,c_high
PPP2R3C,0.281957355,3.74E-08,-0.216380207,0.034220257,0.498337562,c_high
C6orf89,0.588995071,9.71E-36,0.091221319,0.263695102,0.497773752,c_high
POP4,0.576876195,4.98E-34,0.080172816,0.227867124,0.496703379,c_high
ORC3,0.589137885,9.26E-36,0.09324702,0.086950851,0.495890865,c_high
PET112,0.587152701,1.78E-35,0.091352979,0.131451288,0.495799723,c_high
KAT5,0.45199078,6.28E-20,-0.043526846,0.48894918,0.495517627,c_high
C7orf26,0.572811286,1.80E-33,0.077923132,0.222350283,0.494888155,c_high
ANAPC7,0.620392038,1.60E-40,0.125592898,0.02511054,0.49479914,c_high
DAD1,0.503270993,5.04E-25,0.008654149,0.869660286,0.494616844,c_high
C17orf89,0.505983771,2.56E-25,0.011398674,0.899601449,0.494585097,c_high
SDF2,0.589949301,7.07E-36,0.095584603,0.098443272,0.494364698,c_high
HMBOX1,0.534596787,1.38E-28,0.04028586,0.622169807,0.494310927,c_high
BCAS2,0.540375945,2.75E-29,0.046854153,0.371430252,0.493521792,c_high
FBXO45,0.583539508,5.83E-35,0.090411935,0.274471762,0.493127573,c_high
KIAA0753,0.587227137,1.74E-35,0.094629414,0.349015525,0.492597724,c_high
TAF5L,0.59253966,2.97E-36,0.100112513,0.168214236,0.492427147,c_high
VPS11,0.525829051,1.49E-27,0.033971328,0.534275322,0.491857724,c_high
ATP5H,0.523211712,3.00E-27,0.033129715,0.526374594,0.490081997,c_high
NDUFA10,0.475864131,3.41E-22,-0.014123302,0.787426448,0.489987433,c_high
FAM206A,0.482000247,8.33E-23,-0.007523263,0.929702123,0.48952351,c_high
SMU1,0.720249043,4.30E-60,0.23143318,8.16E-06,0.488815864,c_high
NCAPD2,0.476793676,2.76E-22,-0.010861555,0.842996647,0.487655231,c_high
RPP14,0.538093344,5.22E-29,0.050627498,0.419900902,0.487465846,c_high
CPSF3L,0.470328091,1.18E-21,-0.017068422,0.770717151,0.487396514,c_high
ATRIP,0.53694837,7.18E-29,0.049735723,0.507307163,0.487212647,c_high
NDUFAF1,0.54132805,2.11E-29,0.054778608,0.37626841,0.486549442,c_high
NFYA,0.520291567,6.49E-27,0.034002315,0.577307055,0.486289252,c_high
CNOT2,0.646077116,7.39E-45,0.160062982,0.004038529,0.486014135,c_high
MRPS10,0.566413656,1.31E-32,0.080445617,0.151718263,0.48596804,c_high
EIF2B2,0.557446628,1.97E-31,0.071491402,0.187183949,0.485955226,c_high
VPS41,0.554258223,5.06E-31,0.068707206,0.212484405,0.485551017,c_high
ACTR6,0.45198912,6.28E-20,-0.033275435,0.636585125,0.485264555,c_high
MED9,0.539946332,3.11E-29,0.055474255,0.43760281,0.484472077,c_high
NFYC,0.510222434,8.77E-26,0.026465799,0.656955589,0.483756634,c_high
MRPL10,0.576466038,5.67E-34,0.092797211,0.08849078,0.483668827,c_high
NDUFS3,0.456686637,2.32E-20,-0.025821545,0.621489624,0.482508182,c_high
DPF2,0.567337433,9.86E-33,0.085233371,0.111437775,0.482104063,c_high
CSNK2A1,0.720290584,4.21E-60,0.238347956,3.77E-06,0.481942629,c_high
UQCR10,0.504624423,3.60E-25,0.022688069,0.674979836,0.481936353,c_high
VPS33B,0.669628185,3.23E-49,0.18802542,0.00078175,0.481602765,c_high
NDUFA12,0.437938521,1.12E-18,-0.043396724,0.414321315,0.481335245,c_high
BAG6,0.591371066,4.40E-36,0.110398891,0.034997966,0.480972175,c_high
ATP5L,0.434595911,2.19E-18,-0.046126935,0.377599789,0.480722846,c_high
NUP107,0.527557667,9.38E-28,0.046889576,0.377057287,0.480668092,c_high
CXXC1,0.619300336,2.40E-40,0.140627861,0.022543436,0.478672474,c_high
RAD21,0.54888194,2.43E-30,0.070672698,0.178497947,0.478209242,c_high
ATP6V1F,0.459863582,1.18E-20,-0.018340027,0.746152127,0.478203609,c_high
COMMD5,0.54567389,6.12E-30,0.067663361,0.222358912,0.478010529,c_high
UQCRFS1,0.485224203,3.93E-23,0.007261804,0.88958175,0.477962399,c_high
PSMA1,0.588628995,1.10E-35,0.111256391,0.032872691,0.477372604,c_high
RBX1,0.399909762,1.45E-15,-0.077351428,0.237514254,0.47726119,c_high
ZNF33A,0.355544149,2.09E-12,-0.121451827,0.177262639,0.476995975,c_high
CEP104,0.559689805,1.01E-31,0.082789771,0.425089257,0.476900034,c_high
MED11,0.54225026,1.62E-29,0.065431043,0.321052833,0.476819218,c_high
EBNA1BP2,0.499752681,1.20E-24,0.023073053,0.664830182,0.476679628,c_high
SNAPC3,0.631923071,2.03E-42,0.155514233,0.101563159,0.476408838,c_high
MLLT10,0.478914908,1.70E-22,0.002968193,0.974332761,0.475946715,c_high
RNF41,0.504477777,3.73E-25,0.028592394,0.702398758,0.475885383,c_high
EXOSC4,0.506569742,2.21E-25,0.030863713,0.57989945,0.475706029,c_high
NOL6,0.530485345,4.24E-28,0.055071471,0.301471412,0.475413874,c_high
CSPP1,0.618485262,3.24E-40,0.143593821,0.10178811,0.474891441,c_high
ATP5C1,0.457150007,2.10E-20,-0.017557688,0.737100973,0.474707695,c_high
NHP2L1,0.522076479,4.05E-27,0.047661786,0.383099858,0.474414692,c_high
BRK1,0.503977784,4.23E-25,0.030116174,0.579992762,0.47386161,c_high
PSMB7,0.568061331,7.88E-33,0.094289389,0.091191119,0.473771942,c_high
C16orf70,0.445751973,2.30E-19,-0.027578898,0.674707044,0.47333087,c_high
UTP15,0.442115993,4.83E-19,-0.031157699,0.564095998,0.473273693,c_high
SMARCA5,0.523538163,2.75E-27,0.050351517,0.335429806,0.473186645,c_high
ATP6V1H,0.541204327,2.18E-29,0.068081674,0.193149526,0.473122653,c_high
WDR36,0.535610402,1.04E-28,0.063039674,0.232821993,0.472570728,c_high
TTI2,0.665100321,2.39E-48,0.192930227,0.003239075,0.472170094,c_high
CSNK1A1,0.574419562,1.08E-33,0.1023766,0.05034455,0.472042962,c_high
CEP95,0.601601974,1.35E-37,0.130474451,0.106775823,0.471127523,c_high
BRD9,0.585538044,3.03E-35,0.114742802,0.074205918,0.470795242,c_high
RNF40,0.533796639,1.72E-28,0.063183492,0.259757708,0.470613147,c_high
NOP14,0.573830551,1.31E-33,0.104011166,0.064801182,0.469819385,c_high
HMGXB4,0.540679467,2.53E-29,0.070933823,0.249851395,0.469745644,c_high
NUDT21,0.490611074,1.10E-23,0.021000172,0.688032235,0.469610902,c_high
COPE,0.415979947,7.85E-17,-0.053452934,0.306474385,0.469432881,c_high
MED10,0.50874073,1.28E-25,0.040164995,0.510275544,0.468575735,c_high
CCT3,0.467316622,2.31E-21,-0.000981717,0.985025759,0.468298339,c_high
MRPL13,0.560793048,7.23E-32,0.093297932,0.075441941,0.467495115,c_high
FIG4,0.559915457,9.42E-32,0.092584681,0.177219879,0.467330777,c_high
Sep 02,0.591729117,3.90E-36,0.124510162,0.016862174,0.467218955,c_high
PHF5A,0.508577353,1.33E-25,0.04149211,0.435123446,0.467085242,c_high
COPS6,0.545959143,5.64E-30,0.079636787,0.128849904,0.466322355,c_high
PSMA7,0.509138277,1.16E-25,0.043063802,0.410122164,0.466074474,c_high
FBXW8,0.458792745,1.48E-20,-0.00652557,0.93431698,0.465318315,c_high
RBM22,0.653202977,3.90E-46,0.188049704,0.000618627,0.465153273,c_high
THAP4,0.46719994,2.37E-21,0.002056889,0.974342375,0.465143051,c_high
SNRPC,0.542891289,1.35E-29,0.078044308,0.13724298,0.464846981,c_high
MRPS7,0.628557172,7.41E-42,0.164149385,0.001859706,0.464407786,c_high
BRD8,0.564465684,2.38E-32,0.100183301,0.102376468,0.464282383,c_high
BAP1,0.599085929,3.22E-37,0.134856407,0.045223165,0.464229522,c_high
RPL4,0.483700848,5.61E-23,0.019606948,0.707747544,0.4640939,c_high
RPL15,0.425403534,1.32E-17,-0.038194429,0.465102888,0.463597964,c_high
LIN37,0.404586289,6.31E-16,-0.058881118,0.487962687,0.463467407,c_high
CLP1,0.643164568,2.41E-44,0.179932768,0.003601059,0.463231799,c_high
BUB3,0.481612643,9.11E-23,0.018485146,0.723765808,0.463127498,c_high
WDR83,0.548628389,2.62E-30,0.086229479,0.201600923,0.46239891,c_high
POLR1C,0.603706037,6.49E-38,0.14136229,0.007305758,0.462343746,c_high
SUPT6H,0.626103242,1.88E-41,0.163768872,0.001850703,0.46233437,c_high
PELO,0.591345782,4.44E-36,0.129105185,0.021082636,0.462240598,c_high
ANKIB1,0.544255976,9.18E-30,0.082739592,0.191369029,0.461516384,c_high
CIAO1,0.505201127,3.11E-25,0.043849533,0.420957813,0.461351593,c_high
IDH3B,0.617613104,4.46E-40,0.156507782,0.002751833,0.461105322,c_high
TRMT61A,0.434675276,2.15E-18,-0.026196098,0.656301706,0.460871374,c_high
VPS72,0.576943287,4.87E-34,0.116084672,0.068557978,0.460858615,c_high
PSMD13,0.550339522,1.59E-30,0.090141923,0.084193519,0.460197599,c_high
C15orf39,0.398157027,1.98E-15,-0.061195237,0.479113296,0.459352264,c_high
NUP54,0.525711825,1.54E-27,0.06640153,0.204394014,0.459310295,c_high
MIS12,0.560160751,8.75E-32,0.10085206,0.098819275,0.459308691,c_high
POLR2J3,0.440682222,6.46E-19,-0.018576477,0.795047679,0.459258699,c_high
CCDC77,0.558122234,1.61E-31,0.098899903,0.315496876,0.459222331,c_high
INO80C,0.580861091,1.39E-34,0.121876026,0.167176087,0.458985065,c_high
PIGN,0.551999682,9.83E-31,0.093111182,0.260339483,0.4588885,c_high
MUL1,0.527602351,9.26E-28,0.068943235,0.38937759,0.458659117,c_high
INTS2,0.62945278,5.26E-42,0.1707992,0.002314626,0.458653581,c_high
SAP30BP,0.718458596,1.15E-59,0.259946473,1.63E-06,0.458512122,c_high
COQ6,0.566700211,1.20E-32,0.108371321,0.047152735,0.45832889,c_high
SMARCD2,0.556225691,2.83E-31,0.097974141,0.075964304,0.458251549,c_high
PSMC1,0.561239972,6.32E-32,0.103058518,0.048206628,0.458181453,c_high
TFIP11,0.599126149,3.17E-37,0.140947073,0.018927953,0.458179075,c_high
CDC23,0.561786806,5.36E-32,0.103871874,0.067788782,0.457914933,c_high
POLR3H,0.420126289,3.61E-17,-0.037569636,0.611651057,0.457695924,c_high
PPP6C,0.628054434,8.98E-42,0.170415431,0.001152136,0.457639002,c_high
GALNT11,0.582305235,8.71E-35,0.125014623,0.201652057,0.457290612,c_high
C14orf2,0.463433542,5.42E-21,0.006152394,0.931622029,0.457281148,c_high
ALG8,0.606151479,2.75E-38,0.149114324,0.034173675,0.457037155,c_high
CLPX,0.587769605,1.46E-35,0.131160093,0.013522175,0.456609512,c_high
CIRH1A,0.500596989,9.77E-25,0.044544002,0.441313937,0.456052987,c_high
NUP37,0.538296492,4.93E-29,0.082297843,0.12709558,0.455998649,c_high
ZNF7,0.640654878,6.58E-44,0.184754335,0.028291207,0.455900543,c_high
DCAF13,0.612047396,3.37E-39,0.156154192,0.005116058,0.455893204,c_high
PSMD3,0.626822588,1.43E-41,0.170989901,0.000990252,0.455832687,c_high
AP2B1,0.504690111,3.54E-25,0.049383612,0.344814346,0.455306499,c_high
TRIM41,0.581584092,1.10E-34,0.126809071,0.138311187,0.454775021,c_high
FAM96B,0.360197728,1.03E-12,-0.094425906,0.101462661,0.454623635,c_high
INTS1,0.494845182,3.98E-24,0.040395073,0.453870185,0.454450108,c_high
TGIF1,0.517042736,1.52E-26,0.062634233,0.412982398,0.454408503,c_high
RPSA,0.469167366,1.53E-21,0.014884664,0.775964617,0.454282702,c_high
RNF168,0.55000802,1.76E-30,0.095751715,0.280397228,0.454256305,c_high
MRPL14,0.500120337,1.10E-24,0.045951763,0.394842659,0.454168575,c_high
PRPF8,0.610504736,5.86E-39,0.156524002,0.002603753,0.453980734,c_high
ELMO2,0.582430678,8.36E-35,0.128962014,0.031903532,0.453468664,c_high
RPS24,0.502479625,6.13E-25,0.04922877,0.346330976,0.453250855,c_high
TSPYL1,0.498162933,1.78E-24,0.045003554,0.51964426,0.453159379,c_high
TAF12,0.529952824,4.91E-28,0.076806429,0.361896138,0.453146396,c_high
GTF2E1,0.483448118,5.95E-23,0.030304281,0.593261921,0.453143838,c_high
CDKN2AIPNL,0.443286483,3.81E-19,-0.009836171,0.885451154,0.453122654,c_high
WDR82,0.613984083,1.68E-39,0.161068218,0.002142383,0.452915865,c_high
MCRS1,0.531931496,2.86E-28,0.079479669,0.220868658,0.452451827,c_high
ATP5E,0.456985359,2.18E-20,0.004686116,0.930688861,0.452299243,c_high
NAA35,0.575686008,7.26E-34,0.123679492,0.040045178,0.452006516,c_high
INTS12,0.518805678,9.58E-27,0.066942949,0.281250451,0.451862729,c_high
POLR1E,0.540354771,2.77E-29,0.088557658,0.127825654,0.451797114,c_high
YME1L1,0.507186463,1.89E-25,0.055917006,0.301070532,0.451269457,c_high
AP4M1,0.560037899,9.08E-32,0.108883205,0.149125884,0.451154694,c_high
ADD1,0.619918963,1.91E-40,0.168932076,0.001141675,0.450986888,c_high
MRPL22,0.566765928,1.17E-32,0.116011123,0.030973574,0.450754805,c_high
CPSF3,0.574795328,9.63E-34,0.124233264,0.021952144,0.450562064,c_high
EP400,0.502676719,5.84E-25,0.05224194,0.393424017,0.450434779,c_high
MRPL40,0.472362138,7.51E-22,0.022335186,0.673626458,0.450026953,c_high
RPS3,0.408532595,3.09E-16,-0.041347924,0.429042915,0.449880519,c_high
DCTN4,0.559328191,1.12E-31,0.109538691,0.036710723,0.4497895,c_high
RPL13A,0.321595928,2.67E-10,-0.128116135,0.013914011,0.449712063,c_high
NDUFB4,0.316057365,5.57E-10,-0.133626285,0.01103774,0.44968365,c_high
EXOSC2,0.5191935,8.65E-27,0.06973535,0.194357443,0.44945815,c_high
PIH1D1,0.49237091,7.22E-24,0.042938362,0.439729075,0.449432548,c_high
TBC1D22B,0.643851287,1.82E-44,0.194456696,0.020399413,0.449394591,c_high
FAM103A1,0.47637154,3.03E-22,0.026986563,0.658881776,0.449384978,c_high
NUP188,0.424923077,1.45E-17,-0.024440751,0.642099468,0.449363827,c_high
POLR3D,0.613341722,2.11E-39,0.164138399,0.008507604,0.449203324,c_high
RPS23,0.386680038,1.43E-14,-0.062451273,0.232042386,0.449131311,c_high
RNF185,0.573955824,1.25E-33,0.124846535,0.106868509,0.449109289,c_high
DCTN6,0.648231646,3.06E-45,0.199163936,0.000487561,0.44906771,c_high
RALBP1,0.590908845,5.13E-36,0.142371164,0.014727094,0.44853768,c_high
NSMCE2,0.559982888,9.23E-32,0.111561887,0.063716904,0.448421,c_high
EXOC3,0.622274706,7.94E-41,0.173942854,0.00104967,0.448331853,c_high
TNIP2,0.559049412,1.22E-31,0.110810862,0.134267412,0.44823855,c_high
MNAT1,0.452664071,5.45E-20,0.004940168,0.935721925,0.447723903,c_high
PRPF4,0.583565558,5.78E-35,0.136053605,0.009158406,0.447511953,c_high
MCM3AP,0.54633031,5.07E-30,0.098823431,0.098280503,0.447506879,c_high
MRPL2,0.506696126,2.14E-25,0.059254817,0.27950235,0.447441308,c_high
SMG8,0.606631083,2.32E-38,0.159559342,0.005937828,0.447071741,c_high
ARPC3,0.344655597,1.06E-11,-0.102178945,0.050160524,0.446834541,c_high
NDUFV2,0.462270441,6.98E-21,0.015502373,0.76786076,0.446768068,c_high
AAAS,0.50731284,1.83E-25,0.060926953,0.25357279,0.446385888,c_high
VPS16,0.59208063,3.47E-36,0.145924325,0.007379281,0.446156305,c_high
MRPL50,0.427605561,8.62E-18,-0.018533548,0.7353777,0.44613911,c_high
DDB1,0.597225178,6.08E-37,0.151121056,0.003662591,0.446104122,c_high
PSMB1,0.497859374,1.91E-24,0.052134796,0.318572935,0.445724578,c_high
KAT7,0.670556952,2.14E-49,0.224891104,7.22E-05,0.445665848,c_high
