gene,r_cnv_rna,p_cnv_rna,r_cnv_prot,p_cnv_prot,prot_att,prot_att_class
MST1R,0.094996322,0.068718789,0.031238807,0.719090352,0.063757515,a_not
KIAA1217,0.264508963,2.62E-07,0.200828613,0.000155371,0.06368035,a_not
ABCB1,0.083221851,0.110979388,0.019656418,0.839980826,0.063565433,a_not
GNS,0.383429468,2.46E-14,0.319908541,7.26E-10,0.063520926,a_not
MRAS,0.186045877,0.000332952,0.122534444,0.128781965,0.063511433,a_not
CASP10,0.231440077,7.27E-06,0.167931165,0.003531266,0.063508911,a_not
PPP2R5B,0.183992382,0.000388295,0.120512917,0.10512103,0.063479465,a_not
ARID4A,0.340422666,1.95E-11,0.276975335,9.57E-06,0.063447331,a_not
SSB,0.340534395,1.92E-11,0.27714492,6.49E-08,0.063389476,a_not
C5AR1,0.126489604,0.015182513,0.063111523,0.472192202,0.063378082,a_not
FARP1,0.374830835,1.01E-13,0.311463118,5.14E-09,0.063367717,a_not
ASPSCR1,0.45169611,6.68E-20,0.388429714,1.61E-14,0.063266397,a_not
CARHSP1,0.341960515,1.56E-11,0.278714425,2.25E-07,0.06324609,a_not
SLC25A22,0.449707192,1.01E-19,0.386533718,2.21E-14,0.063173474,a_not
EFHD1,0.142605683,0.006137127,0.079458132,0.23102042,0.063147552,a_not
LZTR1,0.453392397,4.67E-20,0.390328605,4.32E-08,0.063063792,a_not
CAP1,0.426597507,1.05E-17,0.36355017,6.10E-13,0.063047337,a_not
FAM111B,0.263429636,2.94E-07,0.200418385,0.013929224,0.063011251,a_not
NRBP2,0.474573403,4.56E-22,0.411568472,5.21E-12,0.063004931,a_not
QKI,0.08177969,0.117326731,0.018854395,0.74791921,0.062925296,a_not
PLIN2,0.179168746,0.000553682,0.116276587,0.034460466,0.06289216,a_not
CDKAL1,0.40083202,1.23E-15,0.337969897,3.11E-09,0.062862123,a_not
GPR56,0.312974297,8.34E-10,0.250154072,5.18E-05,0.062820225,a_not
PHLDA2,0.153197559,0.003216511,0.090391484,0.320081032,0.062806075,a_not
TUFM,0.390717644,7.18E-15,0.327944265,1.13E-10,0.062773378,a_not
WBP4,0.47627256,3.10E-22,0.41359622,1.69E-09,0.06267634,a_not
SDSL,0.219640292,2.13E-05,0.156970627,0.006905259,0.062669665,a_not
NT5DC2,0.222910633,1.59E-05,0.160263244,0.009500748,0.062647389,a_not
ZNF362,0.246980055,1.62E-06,0.18443868,0.016370927,0.062541376,a_not
ZNF217,0.271335309,1.24E-07,0.208805091,0.001253886,0.062530218,a_not
DUS3L,0.44681197,1.85E-19,0.384326569,4.86E-11,0.062485401,a_not
ATL2,0.367675745,3.19E-13,0.30522494,7.52E-09,0.062450805,a_not
PDIA3,0.448018567,1.44E-19,0.385592475,1.71E-14,0.062426092,a_not
CASP1,0.168031984,0.001214382,0.105643785,0.048282498,0.062388199,a_not
DNASE2,0.447579825,1.58E-19,0.385229374,5.64E-13,0.062350451,a_not
COLEC12,-0.019899865,0.703585751,-0.082229307,0.273823403,0.062329442,a_not
OSBPL11,0.455598474,2.93E-20,0.393397739,2.37E-11,0.062200736,a_not
AKAP8L,0.460064782,1.13E-20,0.397884422,1.81E-13,0.06218036,a_not
TARS,0.523490204,2.78E-27,0.461318425,8.58E-21,0.062171779,a_not
OLA1,0.378145099,5.91E-14,0.316044465,5.58E-10,0.062100634,a_not
ACOT13,0.416120784,7.65E-17,0.354025323,2.82E-12,0.062095461,a_not
GFM1,0.402037853,9.95E-16,0.33995324,2.37E-11,0.062084613,a_not
MCC,0.227681989,1.03E-05,0.165640332,0.036326201,0.062041657,a_not
